sparsity,length,time_create_append,time_get_at_rank,time_get_at_index,time_num_elem_at,space,saving
0.010000,665000,0.364956,0.000045,0.000055,0.000126,535856,21068224
0.010000,670000,0.381973,0.000046,0.000057,0.000129,542704,21223872
0.010000,675000,0.384119,0.000045,0.000053,0.000125,548272,21380864
0.010000,680000,0.386753,0.000047,0.000054,0.000127,547632,21544000
0.010000,685000,0.386308,0.000046,0.000058,0.000126,548880,21705248
0.010000,690000,0.401951,0.000046,0.000057,0.000127,561136,21855488
0.010000,695000,0.406106,0.000058,0.000058,0.000128,564240,22014880
0.010000,700000,0.396599,0.000046,0.000056,0.000124,562928,22178624
0.010000,705000,0.412290,0.000046,0.000056,0.000126,567216,22336896
0.010000,710000,0.418132,0.000047,0.000058,0.000126,573424,22493184
0.010000,715000,0.419411,0.000045,0.000055,0.000125,575824,22653280
0.010000,720000,0.428767,0.000050,0.000060,0.000128,584432,22807168
0.010000,725000,0.476827,0.000048,0.000055,0.000126,587344,22966752
0.010000,730000,0.460971,0.000050,0.000059,0.000126,592144,23124448
0.010000,735000,0.467136,0.000046,0.000057,0.000129,590800,23288288
0.010000,740000,0.495003,0.000081,0.000058,0.000127,596112,23445536
0.010000,745000,0.571628,0.000141,0.000108,0.000175,599728,23604416
0.010000,750000,0.553830,0.000117,0.000097,0.000235,609328,23757248
0.010000,755000,0.708105,0.000050,0.000057,0.000128,611760,23917376
0.010000,760000,0.534517,0.000107,0.000099,0.000172,616400,24075168
0.010000,765000,0.490670,0.000046,0.000055,0.000127,620176,24233888
0.010000,770000,0.483162,0.000046,0.000056,0.000128,622864,24393760
0.010000,775000,0.495117,0.000046,0.000059,0.000127,628560,24550560
0.010000,780000,0.559256,0.000072,0.000058,0.000129,633136,24708480
0.010000,785000,0.536311,0.000047,0.000058,0.000128,638896,24865216
0.010000,790000,0.526394,0.000047,0.000058,0.000126,637040,25029568
0.010000,795000,0.522773,0.000125,0.000060,0.000127,646672,25182432
0.010000,800000,0.519007,0.000047,0.000056,0.000127,647568,25344096
0.010000,805000,0.524406,0.000046,0.000056,0.000135,650640,25503520
0.010000,810000,0.528166,0.000052,0.000061,0.002118,654384,25662208
0.010000,815000,0.554532,0.000048,0.000058,0.000132,660080,25819008
0.010000,820000,0.588195,0.000034,0.000057,0.000199,666096,25975488
0.010000,825000,0.586227,0.000040,0.000060,0.000129,666448,26137632
0.010000,830000,0.601873,0.000081,0.000108,0.000322,674928,26291648
0.010000,835000,0.606068,0.000043,0.000090,0.000146,675024,26454112
0.010000,840000,0.626972,0.000032,0.000067,0.000127,678896,26612736
0.010000,845000,1.040616,0.000035,0.000064,0.000129,681072,26773056
0.010000,850000,0.673864,0.000033,0.000059,0.002199,688208,26928416
0.010000,855000,0.625020,0.000032,0.000059,0.000128,691952,27087168
0.010000,860000,0.739907,0.000159,0.000063,0.000241,692496,27249056
0.010000,865000,0.700421,0.000047,0.000066,0.000135,701392,27402720
0.010000,870000,0.716986,0.000049,0.000072,0.000129,708688,27557920
0.010000,875000,0.656458,0.000032,0.000059,0.000128,707984,27721120
0.010000,880000,0.688756,0.000046,0.000057,0.000130,710576,27881024
0.010000,885000,0.688085,0.000033,0.000057,0.000129,711728,28042368
0.010000,890000,0.634248,0.000032,0.000064,0.000127,721904,28194688
0.010000,895000,0.654529,0.000033,0.000063,0.000129,729008,28350080
0.010000,900000,0.700182,0.000171,0.000101,0.000170,722448,28519200
0.010000,905000,0.753007,0.000047,0.000061,0.000129,736336,28667808
0.010000,910000,0.714425,0.000032,0.000057,0.000128,734448,28832128
0.010000,915000,0.743048,0.000052,0.000108,0.000171,743888,28985248
0.010000,920000,0.820641,0.000056,0.000099,0.000137,745200,29146368
0.010000,925000,0.729277,0.000049,0.000059,0.000129,749136,29304928
0.010000,930000,0.724607,0.000049,0.000060,0.000130,758672,29457952
0.010000,935000,0.732252,0.000052,0.000064,0.000189,757808,29621312
0.010000,940000,0.770483,0.000097,0.000115,0.000187,760944,29780672
0.010000,945000,0.762168,0.000044,0.000060,0.000130,761680,29942432
0.010000,950000,0.781393,0.000031,0.000057,0.000129,771376,30095232
0.010000,955000,0.794974,0.000053,0.000064,0.000132,771152,30257952
0.010000,960000,0.836365,0.000049,0.000059,0.000127,780880,30410784
0.010000,965000,0.898107,0.000048,0.000214,0.000173,778800,30575360
0.010000,970000,0.813704,0.000048,0.000062,0.000129,784240,30732352
0.010000,975000,0.825940,0.000037,0.000066,0.000128,788272,30890816
0.010000,980000,0.807587,0.000048,0.000100,0.000139,789072,31052512
0.010000,985000,0.891890,0.000065,0.000069,0.000130,796592,31207488
0.010000,990000,0.774691,0.000053,0.000104,0.000129,804688,31361888
0.010000,995000,0.812849,0.000082,0.000094,0.000200,809544,31519680
0.010000,1000000,0.877031,0.000050,0.000062,0.000129,810672,31680960
0.050000,5000,0.000629,0.000026,0.000039,0.000113,9088,152032
0.050000,10000,0.001567,0.000029,0.000041,0.000114,18056,304000
0.050000,15000,0.002802,0.000027,0.000040,0.000114,27400,455808
0.050000,20000,0.004087,0.000028,0.000041,0.000115,35440,608160
0.050000,25000,0.007920,0.000028,0.000039,0.000116,47888,758752
0.050000,30000,0.008087,0.000027,0.000042,0.000116,58224,911424
0.050000,35000,0.008240,0.000027,0.000040,0.000099,68240,1065248
0.050000,40000,0.012742,0.000032,0.000040,0.000099,81392,1215232
0.050000,45000,0.013578,0.000028,0.000042,0.000099,90896,1368864
0.050000,50000,0.017388,0.000029,0.000043,0.000099,102928,1519968
0.050000,55000,0.017998,0.000028,0.000042,0.000099,114640,1671328
0.050000,60000,0.023382,0.000032,0.000135,0.000182,123824,1825280
0.050000,65000,0.026918,0.000035,0.000042,0.000099,132944,1979296
0.050000,70000,0.031912,0.000030,0.000043,0.000121,142256,2130560
0.050000,75000,0.037402,0.000036,0.000046,0.000121,155696,2280064
0.050000,80000,0.042061,0.000030,0.000045,0.000122,165200,2433440
0.050000,85000,0.043882,0.000030,0.000044,0.000121,177424,2584224
0.050000,90000,0.050017,0.000031,0.000044,0.000131,188688,2735840
0.050000,95000,0.154837,0.000072,0.000077,0.000143,201104,2886368
0.050000,100000,0.088261,0.000137,0.000051,0.000122,210096,3040384
0.050000,105000,0.089148,0.000040,0.000120,0.000121,218768,3194592
0.050000,110000,0.085327,0.000046,0.000049,0.000121,236144,3340160
0.050000,115000,0.089086,0.000031,0.000047,0.000121,242512,3496736
0.050000,120000,0.093132,0.000031,0.000047,0.000122,254000,3648192
0.050000,125000,0.132011,0.000044,0.000050,0.000159,266992,3798208
0.050000,130000,0.102848,0.000042,0.000046,0.000121,274672,3953408
0.050000,135000,0.096844,0.000040,0.000048,0.000121,280656,4105952
0.050000,140000,0.109034,0.000044,0.000051,0.000129,295056,4254304
0.050000,145000,0.117071,0.000045,0.000047,0.000122,303088,4409088
0.050000,150000,0.124611,0.000046,0.000048,0.000122,317616,4557312
0.050000,155000,0.123951,0.000048,0.000050,0.000122,321872,4715872
0.050000,160000,0.130671,0.000044,0.000049,0.000121,339216,4861280
0.050000,165000,0.141917,0.000032,0.000048,0.000121,349488,5013824
0.050000,170000,0.181043,0.000040,0.000174,0.000163,360208,5165856
0.050000,175000,0.174492,0.000045,0.000160,0.000122,370256,5318624
0.050000,180000,0.161181,0.000032,0.000049,0.000123,378672,5472960
0.050000,185000,0.183239,0.000034,0.000051,0.000121,395472,5618912
0.050000,190000,0.184456,0.000051,0.000054,0.000121,400016,5777184
0.050000,195000,0.195462,0.000042,0.000054,0.000121,415984,5923968
0.050000,200000,0.294479,0.000072,0.000081,0.000202,424632,6078464
0.050000,205000,0.300062,0.000048,0.000052,0.000122,433568,6233568
0.050000,210000,0.228431,0.000050,0.000051,0.000122,450920,6381888
0.050000,215000,0.222294,0.000043,0.000051,0.000122,456992,6539232
0.050000,220000,0.241129,0.000032,0.000055,0.000122,472368,6689184
0.050000,225000,0.248124,0.000033,0.000051,0.000122,486520,6840064
0.050000,230000,0.258038,0.000049,0.000051,0.000122,498112,6992992
0.050000,235000,0.270681,0.000049,0.000056,0.000122,514272,7142368
0.050000,240000,0.279780,0.000049,0.000054,0.000123,523824,7296928
0.050000,245000,0.294668,0.000049,0.000052,0.000122,546136,7441280
0.050000,250000,0.300992,0.000033,0.000053,0.000122,548392,7601728
0.050000,255000,0.313935,0.000050,0.000054,0.000123,560224,7754464
0.050000,260000,0.328618,0.000051,0.000056,0.000122,580336,7900576
0.050000,265000,0.319077,0.000050,0.000054,0.000124,584448,8053344
